Mã,Ngày,KL mua,GT mua,KL bán,GT bán,KL giao dịch ròng,GT giao dịch ròng
HPG,2024-10-04,1559800,40.96,2482400,65.2,-922600,-24.24
HPG,2024-10-03,2479400,65.56,1456400,38.23,1023000,27.33
HPG,2024-10-02,7632900,200.17,2191900,57.82,5441000,142.35
HPG,2024-10-01,4161300,111.82,1825400,49.02,2335900,62.8
HPG,2024-09-30,1497300,39.64,1131700,29.88,365600,9.76
HPG,2024-09-27,1452500,37.93,1223900,31.89,228600,6.04
HPG,2024-09-26,4347800,109.69,1511800,39.66,2836000,70.04
HPG,2024-09-25,1891500,49.77,1926800,50.58,-35300,-0.82
HPG,2024-09-24,1014000,26.1,3409500,88.44,-2395500,-62.34
HPG,2024-09-23,1131600,29.38,4449800,114.56,-3318200,-85.18
HPG,2024-09-20,3047700,78.72,9296400,223.44,-6248700,-144.72
HPG,2024-09-19,1290600,32.67,1087700,27.5,202900,5.16
HPG,2024-09-18,1719000,43.38,1969400,49.63,-250400,-6.25
HPG,2024-09-17,1502200,37.7,1630100,40.67,-127900,-2.97
HPG,2024-09-16,537000,13.44,1477100,36.9,-940100,-23.46
HPG,2024-09-13,191100,4.8,710500,17.84,-519400,-13.04
HPG,2024-09-12,1290600,32.69,434100,11.01,856500,21.68
HPG,2024-09-11,891600,22.47,1762800,44.4,-871200,-21.93
HPG,2024-09-10,1367100,34.84,2410100,61.05,-1043000,-26.21
HPG,2024-09-09,3331500,86.04,2642400,68.54,689100,17.5
HPG,2024-09-06,1500400,37.46,1314400,32.9,186000,4.56
HPG,2024-09-05,676200,16.97,954500,24.1,-278300,-7.12
HPG,2024-09-04,232000,5.87,2873900,72.65,-2641900,-66.78
HPG,2024-08-30,1714100,43.97,509100,13.04,1205000,30.93
HPG,2024-08-29,941300,24.23,861700,22.45,79600,1.78
HPG,2024-08-28,529800,13.64,1607400,41.51,-1077600,-27.87
HPG,2024-08-27,2488700,65.24,1776700,45.87,712000,19.37
HPG,2024-08-26,2092900,54.72,382500,10.02,1710400,44.7
HPG,2024-08-23,1025500,26.23,673900,17.21,351600,9.02
HPG,2024-08-22,787400,20.42,1334700,34.47,-547300,-14.05
HPG,2024-08-21,1579500,41.09,1540700,40.03,38800,1.06
HPG,2024-08-20,504700,13.1,808000,20.98,-303300,-7.88
HPG,2024-08-19,1894500,49.23,1565700,40.72,328800,8.51
HPG,2024-08-16,1686300,42.81,2466000,62.91,-779700,-20.1
HPG,2024-08-15,657900,16.65,1016200,25.71,-358300,-9.06
HPG,2024-08-14,1038600,26.46,1262000,32.2,-223400,-5.74
HPG,2024-08-13,1569300,39.96,2672900,68.2,-1103600,-28.25
HPG,2024-08-12,661400,17.12,2668000,69.02,-2006600,-51.9
HPG,2024-08-09,564200,14.64,927700,24.07,-363500,-9.43
HPG,2024-08-08,658500,17,1336800,34.5,-678300,-17.5
HPG,2024-08-07,378300,9.87,2243500,58.65,-1865200,-48.78
HPG,2024-08-06,3103300,81.26,1532800,40.75,1570500,40.51
HPG,2024-08-05,5093600,134.05,4473700,117.84,619900,16.21
HPG,2024-08-02,1640900,44.37,1992900,53.52,-352000,-9.15
HPG,2024-08-01,4681300,126.46,2971100,79.8,1710200,46.65
HPG,2024-07-31,950400,26.16,2375400,65.42,-1425000,-39.26
HPG,2024-07-30,462600,12.97,1467400,41.02,-1004800,-28.06
HPG,2024-07-29,2377400,66.45,2892900,80.85,-515500,-14.4
HPG,2024-07-26,1227800,33.74,748100,20.55,479700,13.19
HPG,2024-07-25,642200,17.61,1688700,46.33,-1046500,-28.73
HPG,2024-07-24,3187200,88.23,1767100,48.85,1420100,39.38
HPG,2024-07-23,2898500,81.14,1443900,40.32,1454600,40.82
HPG,2024-07-22,3765500,105.46,1667600,46.7,2097900,58.75
HPG,2024-07-19,4385900,124.14,1363400,38.54,3022500,85.59
HPG,2024-07-18,3140900,88.86,2495900,70.45,645000,18.41
HPG,2024-07-17,1367400,38.75,3449800,97.36,-2082400,-58.61
HPG,2024-07-16,2111500,60.27,2354100,67.15,-242600,-6.88
HPG,2024-07-15,602000,17.17,2331400,66.34,-1729400,-49.18
HPG,2024-07-12,1351300,38.84,1454300,41.76,-103000,-2.92
HPG,2024-07-11,2574600,74.77,1205000,34.98,1369600,39.79
HPG,2024-07-10,2506100,73.21,2185500,63.67,320600,9.54
HPG,2024-07-09,2471800,71.58,2554200,73.96,-82400,-2.38
HPG,2024-07-08,1477200,42.65,2383600,68.7,-906400,-26.05
HPG,2024-07-05,3627400,103.96,1107500,31.74,2519900,72.22
HPG,2024-07-04,562800,16.21,632300,18.17,-69500,-1.96
HPG,2024-07-03,3691700,106.38,1264900,36.45,2426800,69.93
HPG,2024-07-02,2160900,61.76,1527100,43.57,633800,18.19
HPG,2024-07-01,1311400,37.05,929400,26.27,382000,10.78
HPG,2024-06-28,2286600,65.64,715500,20.46,1571100,45.18
HPG,2024-06-27,527100,15.22,1827600,52.67,-1300500,-37.45
HPG,2024-06-26,1304000,37.64,889100,25.65,414900,11.98
HPG,2024-06-25,2015600,57.77,1615900,46.35,399700,11.42
HPG,2024-06-24,3273800,93.62,2293500,65.3,980300,28.32
HPG,2024-06-21,369900,10.79,1921600,56.02,-1551700,-45.23
HPG,2024-06-20,3394500,98.97,1637400,47.78,1757100,51.19
HPG,2024-06-19,1379700,40.55,1390300,40.77,-10600,-0.22
HPG,2024-06-18,4267100,126.43,1375700,40.61,2891400,85.82
HPG,2024-06-17,1417100,41.72,2156700,63.64,-739600,-21.92
HPG,2024-06-14,6431700,188.43,5552100,164.09,879600,24.34
HPG,2024-06-13,3347200,98.65,1281500,37.77,2065700,60.88
HPG,2024-06-12,6698200,42.79,154740700,69.92,-148042500,-27.12
HPG,2024-06-11,3277500,95.66,1797900,52.6,1479600,43.07
HPG,2024-06-10,619300,18.1,1122300,32.82,-503000,-14.72
HPG,2024-06-07,2273300,66.59,449800,13.15,1823500,53.45
HPG,2024-06-06,2784100,81.65,1657700,48.45,1126400,33.2
HPG,2024-06-05,1165900,34.12,2469700,72.28,-1303800,-38.16
HPG,2024-06-04,1508500,44.46,4707300,138.51,-3198800,-94.05
HPG,2024-06-03,1784800,51.73,2402500,69.56,-617700,-17.84
HPG,2024-05-31,3342400,95.22,1111200,31.73,2231200,63.49
HPG,2024-05-30,1240700,35.06,6272800,177.53,-5032100,-142.47
HPG,2024-05-29,3437400,98.57,2115800,61.26,1321600,37.31
HPG,2024-05-28,1144600,33.22,896700,25.94,247900,7.29
HPG,2024-05-27,2088600,60.39,547200,15.81,1541400,44.58
HPG,2024-05-24,2179500,63.28,3205300,93.29,-1025800,-30.01
HPG,2024-05-23,2360200,68.93,2650300,76.68,-290100,-7.75
HPG,2024-05-22,1499200,47.18,888400,27.93,610800,19.25
HPG,2024-05-21,731100,23.18,2183600,69.25,-1452500,-46.06
HPG,2024-05-20,1060500,33.79,3420400,109.3,-2359900,-75.51
HPG,2024-05-17,1363800,42.74,1561000,48.88,-197200,-6.15
HPG,2024-05-16,3283000,103.72,2002000,63.26,1281000,40.45
HPG,2024-05-15,1961800,60.83,1949400,60.48,12400,0.35
HPG,2024-05-14,1224300,37.06,778800,23.57,445500,13.48
HPG,2024-05-13,1240100,37.6,1052500,31.87,187600,5.73
HPG,2024-05-10,657700,19.95,1082300,32.64,-424600,-12.69
