Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2015-04-27,44(-1.12 %),-191930,-8.59,2660,0.12,194590,8.71,38933168,41.03%
2015-04-24,44.5(0.00 %),-199300,-8.87,1420,0.06,200720,8.94,38741238,41.07%
2015-04-23,44.5(-1.33 %),-188580,-8.46,88500,3.98,277080,12.44,38541938,41.11%
2015-04-22,45.1(0.00 %),-77740,-3.5,178450,8.15,256190,11.65,38353358,41.15%
2015-04-21,45.1(0.00 %),312500,14.07,617500,27.83,305000,13.76,38275618,41.17%
2015-04-20,45.1(-1.10 %),-57460,-2.59,440900,19.94,498360,22.53,38588118,41.1%
2015-04-17,45.6(1.56 %),26720,1.13,686720,31.12,660000,29.99,38530658,41.11%
2015-04-16,44.9(-0.22 %),-148270,-6.69,663360,29.89,811630,36.58,38557378,41.11%
2015-04-15,45(1.58 %),-352800,-15.85,530970,23.89,883770,39.74,38409108,41.14%
2015-04-14,44.3(0.23 %),-32860,-1.45,268620,11.9,301480,13.36,38056308,41.21%
2015-04-13,44.2(0.00 %),-55550,-2.46,236570,10.47,292120,12.93,38023448,41.22%
2015-04-10,44.2(0.00 %),-131210,-5.82,1986580,88.01,2117790,93.82,37967898,41.23%
2015-04-09,44.2(0.00 %),-71020,-3.15,831530,36.97,902550,40.12,37836688,41.26%
2015-04-08,44.2(-0.45 %),110200,4.88,712540,31.59,602340,26.71,37765668,41.27%
2015-04-07,44.4(0.00 %),-121990,-5.43,610000,27.13,731990,32.55,37875868,41.25%
2015-04-06,44.4(-1.11 %),-33350,-1.48,850900,37.84,884250,39.32,37753878,41.27%
2015-04-03,44.9(1.81 %),-144450,-6.46,441000,19.71,585450,26.17,37720528,41.28%
2015-04-02,44.1(0.23 %),-171440,-7.55,600000,26.4,771440,33.95,37576078,41.31%
2015-04-01,44(-0.23 %),223550,9.89,829160,36.6,605610,26.72,37404638,41.35%
2015-03-31,44.1(0.23 %),-347490,-15.35,507440,22.39,854930,37.74,36953658,41.44%
2015-03-30,44(0.23 %),-147090,-6.49,281780,12.4,428870,18.89,36606168,41.51%
2015-03-27,43.9(0.00 %),-44400,-1.96,694260,30.51,738660,32.47,36459078,41.54%
2015-03-26,43.9(-0.23 %),-284470,-12.52,591760,26.06,876230,38.58,36414678,41.55%
