Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2024-10-08,133.8(-0.22 %),-400900,-53.77,339700,45.54,740600,99.31,40325607,0%
2024-10-07,134.1(0.00 %),-182700,-24.47,143800,19.29,326500,43.76,39924707,0%
2024-10-04,134.1(0.07 %),-37600,-5.01,190500,25.53,228100,30.54,39742007,0%
2024-10-03,134(-1.03 %),-416200,-56.3,162000,21.95,578200,78.25,39704407,0%
2024-10-02,135.4(-0.37 %),883000,119.59,1013300,137.23,130300,17.64,39288207,0%
2024-10-01,135.9(1.04 %),2420100,328.96,2675300,363.61,255200,34.65,40171207,0%
2024-09-30,134.5(0.22 %),332900,44.81,1788600,239.01,1455700,194.2,41726727,0%
2024-09-27,134.2(-0.07 %),768500,102.93,1880600,251.81,1112100,148.88,42059627,0%
2024-09-26,134.3(-0.37 %),4100,0.58,900400,120.92,896300,120.34,42828127,0%
2024-09-25,134.8(0.22 %),332300,44.74,2156800,289.63,1824500,244.89,42832227,0%
2024-09-24,134.5(0.37 %),128900,17.33,657100,88.1,528200,70.77,43164527,0%
2024-09-23,134(-0.96 %),49500,6.8,715600,96.27,666100,89.47,43293427,0%
2024-09-20,135.3(0.07 %),-135200,-18.38,1183100,160.99,1318300,179.38,43342927,0%
2024-09-19,135.2(0.45 %),262100,35.44,1895800,255.78,1633700,220.34,43207727,0%
2024-09-18,134.6(1.28 %),848600,113.79,2093100,280.9,1244500,167.11,43469827,0%
2024-09-17,132.9(1.37 %),1445900,191.16,1855300,245.34,409400,54.18,44318427,0%
2024-09-16,131.1(-1.43 %),323900,42.58,531200,69.89,207300,27.31,45764327,0%
2024-09-13,133(0.53 %),1527600,203.2,1695000,225.44,167400,22.24,46088227,0%
2024-09-12,132.3(1.30 %),883400,116.7,2194400,289.43,1311000,172.73,47615827,0%
2024-09-11,130.6(0.46 %),1070700,139.85,1949700,254.32,879000,114.48,48499227,0%
2024-09-10,130(-0.99 %),-802500,-104.7,1235300,161,2037800,265.69,49569927,0%
2024-09-09,131.3(-0.61 %),-833600,-108.79,606000,79.33,1439600,188.12,48767427,0%
2024-09-06,132.1(1.15 %),1543700,203.59,2215700,292.08,672000,88.49,47933827,0%
2024-09-05,130.6(-1.80 %),-2080900,-272.21,1836700,239.26,3917600,511.46,49477527,0%
2024-09-04,133(-1.34 %),-608000,-80.07,1154600,153.1,1762600,233.16,47396627,0%
2024-08-30,134.8(0.82 %),1398100,188.06,1422600,191.35,24500,3.29,45029464,0%
2024-08-29,133.7(0.30 %),843900,112.45,1082100,144.15,238200,31.7,46427564,0%
2024-08-28,133.3(0.60 %),1040400,139.01,1267500,169.38,227100,30.37,47271464,0%
2024-08-27,132.5(0.76 %),923100,121.68,1015600,133.87,92500,12.19,48311864,0%
2024-08-26,131.5(-1.20 %),417900,55.16,534200,70.57,116300,15.41,49234964,0%
2024-08-23,133.1(-0.52 %),919600,122.32,1496100,198.99,576500,76.67,49652864,0%
2024-08-22,133.8(0.22 %),1032900,138.34,1354500,181.44,321600,43.1,50572464,0%
2024-08-21,133.5(1.52 %),2071000,273.85,2677900,353.95,606900,80.11,51605364,0%
2024-08-20,131.5(0.77 %),974900,128.14,1186400,156,211500,27.85,53676364,0%
2024-08-19,130.5(-0.08 %),-237900,-31.02,267800,34.94,505700,65.96,54651264,0%
2024-08-16,130.6(1.48 %),200600,26.3,847300,110.39,646700,84.09,54413364,0%
2024-08-15,128.7(-0.62 %),615600,79.2,817300,105.19,201700,25.99,54613964,0%
2024-08-14,129.5(-0.15 %),372800,48.41,952100,123.68,579300,75.27,55229564,0%
2024-08-13,129.7(-0.23 %),624300,80.91,1515700,195.96,891400,115.05,55602364,0%
2024-08-12,130(2.44 %),1167600,150.24,2168400,279.33,1000800,129.09,56226664,0%
2024-08-09,126.9(4.53 %),1276000,159.5,2076800,258.8,800800,99.3,57394264,0%
2024-08-08,121.4(-0.49 %),22200,2.56,919200,111.77,897000,109.21,58670264,0%
2024-08-07,122(0.99 %),302700,36.96,1007600,122.05,704900,85.09,58692464,0%
2024-08-06,120.8(1.85 %),-916700,-110.47,1439000,173.73,2355700,284.2,58995164,0%
2024-08-05,118.6(-3.73 %),-737800,-88.91,2134200,257,2872000,345.91,58078464,0%
2024-08-02,123.2(-1.28 %),254700,31.71,1436700,176.67,1182000,144.96,57340664,0%
2024-08-01,124.8(-2.95 %),-1283700,-163.17,759000,96,2042700,259.17,57595364,0%
2024-07-31,128.6(0.47 %),670700,86.02,1427700,182.7,757000,96.68,54241563,0%
2024-07-30,128(-0.78 %),403200,52.38,2038800,264.71,1635600,212.33,54912263,0%
2024-07-29,129(0.78 %),403200,52.38,2038800,264.71,1635600,212.33,55315463,0%
